id,source_language,target_language,source,target,domain
1,en,ht,School will be closed tomorrow.,Lekòl la ap fèmen demen.,education
2,en,ht,School will open late tomorrow.,Lekòl la ap ouvri anreta demen.,education
3,en,ht,School will dismiss early today.,Lekòl la ap fèmen bonè jodi a.,education
4,en,ht,Classes are canceled today.,Klas yo anile jodi a.,education
5,en,ht,School is open today.,Lekòl la ouvè jodi a.,education
6,en,ht,Please send your child to school.,Tanpri voye pitit ou lekòl.,education
7,en,ht,Your child was absent today.,Pitit ou te absan jodi a.,education
8,en,ht,Your child arrived late.,Pitit ou rive anreta.,education
9,en,ht,Your child left early.,Pitit ou te kite bonè.,education
10,en,ht,Please provide an absence note.,Tanpri bay yon nòt absans.,education
11,en,ht,There will be a parent meeting.,Ap gen yon reyinyon paran.,education
12,en,ht,The parent meeting is mandatory.,Reyinyon paran an obligatwa.,education
13,en,ht,The meeting will be held at school.,Reyinyon an ap fèt nan lekòl la.,education
14,en,ht,The meeting starts at 5 PM.,Reyinyon an ap kòmanse a 5è.,education
15,en,ht,Please attend the meeting.,Tanpri patisipe nan reyinyon an.,education
16,en,ht,Only parents or guardians may attend.,Se sèlman paran oswa responsab ki ka vini.,education
17,en,ht,The meeting has been postponed.,Reyinyon an ranvwaye.,education
18,en,ht,The meeting has been canceled.,Reyinyon an anile.,education
19,en,ht,Childcare will not be provided.,Pa pral gen gadri.,education
20,en,ht,Translation will be available.,Ap gen tradiksyon.,education
21,en,ht,Please sign the permission slip.,Tanpri siyen fòm otorizasyon an.,education
22,en,ht,Return the form tomorrow.,Retounen fòm nan demen.,education
23,en,ht,Forms are due today.,Fòm yo dwe remèt jodi a.,education
24,en,ht,Your signature is required.,Siyati ou obligatwa.,education
25,en,ht,Please check your child’s backpack.,Tanpri tcheke sak pitit ou.,education
26,en,ht,Please check your email.,Tanpri tcheke imel ou.,education
27,en,ht,Please check the school app.,Tanpri tcheke aplikasyon lekòl la.,education
28,en,ht,Important information was sent home.,Nou voye enfòmasyon enpòtan lakay.,education
29,en,ht,This notice is important.,Avi sa a enpòtan.,education
30,en,ht,Please read this carefully.,Tanpri li sa a ak atansyon.,education
31,en,ht,Your child is doing well academically.,Pitit ou ap fè bon pwogrè nan lekòl.,education
32,en,ht,Your child needs extra support.,Pitit ou bezwen plis sipò.,education
33,en,ht,Your child is improving.,Pitit ou ap amelyore.,education
34,en,ht,Your child is struggling in class.,Pitit ou gen difikilte nan klas.,education
35,en,ht,We recommend tutoring.,Nou rekòmande leson sipò.,education
36,en,ht,Homework is missing.,Devoir yo pa konplè.,education
37,en,ht,Homework was not submitted.,Yo pa remèt devwa yo.,education
38,en,ht,Please help with homework.,Tanpri ede ak devwa yo.,education
39,en,ht,Homework is due tomorrow.,Devwa yo dwe remèt demen.,education
40,en,ht,Homework is optional.,Devwa yo opsyonèl.,education
41,en,ht,Your child was respectful today.,Pitit ou te respekte règ yo jodi a.,education
42,en,ht,Your child showed good behavior.,Pitit ou te montre bon konpòtman.,education
43,en,ht,Your child had behavior issues.,Pitit ou te gen pwoblèm konpòtman.,education
44,en,ht,We need to discuss behavior.,Nou bezwen pale sou konpòtman.,education
45,en,ht,Please contact the school.,Tanpri kontakte lekòl la.,education
46,en,ht,Please schedule a meeting.,Tanpri pran randevou.,education
47,en,ht,Discipline action was taken.,Nou pran mezi disiplin.,education
48,en,ht,This is a warning.,Sa a se yon avètisman.,education
49,en,ht,This behavior must stop.,Konpòtman sa a dwe sispann.,education
50,en,ht,We are here to support your child.,Nou la pou sipòte pitit ou.,education
51,en,ht,Your child was sick today.,Pitit ou te malad jodi a.,education
52,en,ht,Please keep sick children at home.,Tanpri kenbe timoun malad lakay.,education
53,en,ht,Your child visited the nurse.,Pitit ou te ale wè enfimyè a.,education
54,en,ht,Medication is not allowed without permission.,Medikaman pa otorize san pèmisyon.,education
55,en,ht,Please inform us of allergies.,Tanpri fè nou konnen alèji yo.,education
56,en,ht,Emergency contact information is missing.,Enfòmasyon ijans yo manke.,education
57,en,ht,Please update your contact information.,Tanpri mete enfòmasyon kontak ou ajou.,education
58,en,ht,We could not reach you.,Nou pa t ka kontakte ou.,education
59,en,ht,This is an emergency.,Sa a se yon ijans.,education
60,en,ht,Please respond as soon as possible.,Tanpri reponn pi vit posib.,education
61,en,ht,School lunch is provided.,Lekòl la bay manje midi.,education
62,en,ht,Lunch is free for all students.,Manje midi gratis pou tout elèv.,education
63,en,ht,Please send lunch from home.,Tanpri voye manje soti lakay.,education
64,en,ht,Do not send candy or soda.,Pa voye sirèt oswa soda.,education
65,en,ht,Bring a water bottle.,Pote yon boutèy dlo.,education
66,en,ht,Uniforms are required.,Inifòm obligatwa.,education
67,en,ht,Please follow the dress code.,Tanpri respekte règ abiman.,education
68,en,ht,No uniforms today.,Pa gen inifòm jodi a.,education
69,en,ht,Wear gym clothes.,Mete rad espò.,education
70,en,ht,Closed-toe shoes are required.,Soulye fèmen obligatwa.,education
71,en,ht,There will be a field trip.,Ap gen yon pwomnad lekòl.,education
72,en,ht,The field trip is optional.,Pwomnad la opsyonèl.,education
73,en,ht,Permission is required.,Otorizasyon obligatwa.,education
74,en,ht,The bus will leave at 8 AM.,Otobis la ap pati a 8è.,education
75,en,ht,Students must arrive on time.,Elèv yo dwe rive alè.,education
76,en,ht,There is no school bus today.,Pa gen bis lekòl jodi a.,education
77,en,ht,Parents must arrange transportation.,Paran dwe òganize transpò.,education
78,en,ht,Pickup is at dismissal time.,Ranmase se lè lekòl fini.,education
79,en,ht,Please pick up your child on time.,Tanpri vin chèche pitit ou alè.,education
80,en,ht,Late pickup fees may apply.,Frè ka aplike si anreta.,education
81,en,ht,School starts at 8 AM.,Lekòl la kòmanse a 8è.,education
82,en,ht,School ends at 3 PM.,Lekòl la fini a 3è.,education
83,en,ht,Early dismissal today.,Fèmen bonè jodi a.,education
84,en,ht,After-school programs are available.,Gen pwogram apre lekòl.,education
85,en,ht,Registration is open.,Enskripsyon an ouvè.,education
86,en,ht,Registration closes Friday.,Enskripsyon fèmen vandredi.,education
87,en,ht,Please complete registration.,Tanpri konplete enskripsyon an.,education
88,en,ht,Documents are missing.,Dokiman yo manke.,education
89,en,ht,Birth certificate is required.,Batistè obligatwa.,education
90,en,ht,Proof of address is required.,Prèv adrès obligatwa.,education
91,en,ht,Tuition payment is due.,Peman frè lekòl dwe fèt.,education
92,en,ht,Payment is overdue.,Peman an anreta.,education
93,en,ht,Please contact the office.,Tanpri kontakte biwo a.,education
94,en,ht,Financial assistance is available.,Gen èd finansye.,education
95,en,ht,Apply for financial aid.,Aplike pou èd finansye.,education
96,en,ht,Scholarships are available.,Gen bousdetid.,education
97,en,ht,Fees are non-refundable.,Frè yo pa ranbousab.,education
98,en,ht,Receipts are available upon request.,Resi disponib sou demann.,education
99,en,ht,Payment plans are available.,Gen plan peman.,education
100,en,ht,Thank you for your cooperation.,Mèsi pou kolaborasyon ou.,education
101,en,ht,School will reopen Monday.,Lekòl la ap relouvri lendi.,education
102,en,ht,Have a safe weekend.,Passe yon bon wikenn.,education
103,en,ht,Happy holidays.,Bon fèt.,education
104,en,ht,School is closed for holidays.,Lekòl la fèmen pou fèt.,education
105,en,ht,Classes resume next week.,Klas yo rekòmanse semèn pwochèn.,education
106,en,ht,Welcome back to school.,Byenveni tounen lekòl.,education
107,en,ht,We appreciate your support.,Nou apresye sipò ou.,education
108,en,ht,Thank you for being involved.,Mèsi paske w enplike.,education
109,en,ht,Please reach out with questions.,Tanpri kontakte nou si gen kesyon.,education
110,en,ht,We look forward to working with you.,Nou swete travay avèk ou.,education
111,en,ht,Your child is safe.,Pitit ou an sekirite.,education
112,en,ht,All students are safe.,Tout elèv yo an sekirite.,education
