id,source_language,target_language,source,target,domain
1,en,ht,time,tan,general
2,en,ht,person,moun,general
3,en,ht,year,ane,general
4,en,ht,way,chemen,general
5,en,ht,day,jou,general
6,en,ht,thing,bagay,general
7,en,ht,man,gason,general
8,en,ht,woman,fanm,general
9,en,ht,child,timoun,general
10,en,ht,world,mond,general
11,en,ht,school,lekòl,general
12,en,ht,house,kay,general
13,en,ht,car,machin,general
14,en,ht,book,liv,general
15,en,ht,water,dlo,general
16,en,ht,food,manje,general
17,en,ht,friend,zanmi,general
18,en,ht,happy,kontan,general
19,en,ht,sad,tris,general
20,en,ht,big,gwo,general
21,en,ht,small,piti,general
22,en,ht,fast,rapid,general
23,en,ht,slow,lan,general
24,en,ht,run,kouri,general
25,en,ht,walk,mache,general
26,en,ht,eat,manje,general
27,en,ht,drink,bwè,general
28,en,ht,sleep,dòmi,general
29,en,ht,good,bon,general
30,en,ht,bad,move,general
31,en,ht,new,nouvo,general
32,en,ht,old,ansyen,general
33,en,ht,angry,fache,general
34,en,ht,love,renmen,general
35,en,ht,hate,rayi,general
36,en,ht,night,nwit,general
37,en,ht,light,limyè,general
38,en,ht,dark,fè nwa,general
39,en,ht,yes,wi,general
40,en,ht,no,non,general
41,en,ht,up,anlè,general
42,en,ht,down,atè,general
43,en,ht,left,goch,general
44,en,ht,right,dwat,general
45,en,ht,home,lakay,general
46,en,ht,door, pòt,general
47,en,ht,window,fenèt,general
48,en,ht,table,tab,general
49,en,ht,chair,chèz,general
50,en,ht,pen,plim,general
51,en,ht,apple,pòm,general
52,en,ht,orange,zoranj,general
53,en,ht,banana,fig,general
54,en,ht,grape,rezen,general
55,en,ht,milk,lèt,general
56,en,ht,tea,te,general
57,en,ht,coffee,kafe,general
58,en,ht,juice,ji,general
59,en,ht,egg,ze,general
60,en,ht,fish,pwason,general
61,en,ht,chicken,poul,general
62,en,ht,meat,vyann,general
63,en,ht,soup,soup,general
64,en,ht,bread,pen,general
65,en,ht,butter,bè,general
66,en,ht,cheese,fromaj,general
67,en,ht,apple,pòm,general
68,en,ht,cat,chat,general
69,en,ht,dog,chen,general
70,en,ht,mouse,sourit,general
71,en,ht,bird,zwazo,general
72,en,ht,flower,flè,general
73,en,ht,tree,pye bwa,general
74,en,ht,grass,zèb,general
75,en,ht,sky,syèl,general
76,en,ht,sun,solèy,general
77,en,ht,moon,lalin,general
78,en,ht,star,zetwal,general
79,en,ht,rain,lapli,general
80,en,ht,snow,nèj,general
81,en,ht,wind,van,general
82,en,ht,fire,dife,general
83,en,ht,earth,tè,general
84,en,ht,water,dlo,general
85,en,ht,air,lè,general
86,en,ht,hot,cho,general
87,en,ht,cold,frèt,general
88,en,ht,wet,imid,general
89,en,ht,dry,sèk,general
90,en,ht,black,nwa,general
91,en,ht,white,blan,general
92,en,ht,red,wouj,general
93,en,ht,blue,ble,general
94,en,ht,green,vèt,general
95,en,ht,yellow,jòn,general
96,en,ht,brown,mawon,general
97,en,ht,gray,gri,general
98,en,ht,day,jou,general
99,en,ht,week,semèn,general
100,en,ht,month,mwa,general
101,en,ht,year,ane,general
102,en,ht,morning,maten,general
103,en,ht,afternoon,aprèmidi,general
104,en,ht,evening,sware,general
105,en,ht,night,nwit,general
106,en,ht,monday,lendi,general
107,en,ht,tuesday,madi,general
108,en,ht,wednesday,mèkredi,general
109,en,ht,thursday,jedi,general
110,en,ht,friday,vandredi,general
111,en,ht,saturday,samdi,general
112,en,ht,sunday,dimanch,general
113,en,ht,yes,wi,general
114,en,ht,no,non,general
115,en,ht,please,silvouplè,general
116,en,ht,thank you,mèsi,general
117,en,ht,hello,bonjou,general
118,en,ht,goodbye,orevwa,general
119,en,ht,excuse,eskize,general
120,en,ht,sorry,padon,general
121,en,ht,help,ede,general
122,en,ht,stop,kanpe,general
123,en,ht,go,ale,general
124,en,ht,come,vini,general
125,en,ht,look,gade,general
126,en,ht,see,wè,general
127,en,ht,hear,tande,general
128,en,ht,listen,koute,general
129,en,ht,smell,pran sant,general
130,en,ht,taste,goute,general
131,en,ht,feel,santi,general
132,en,ht,think,panse,general
133,en,ht,know,konnen,general
134,en,ht,understand,konprann,general
135,en,ht,remember,sonje,general
136,en,ht,forget,bliye,general
137,en,ht,work,travay,general
138,en,ht,play,jwe,general
139,en,ht,read,li,general
140,en,ht,write,ekri,general
141,en,ht,sing,chante,general
142,en,ht,dance,danse,general
143,en,ht,sleep,dòmi,general
144,en,ht,run,kouri,general
145,en,ht,walk,mache,general
146,en,ht,swim,naje,general
147,en,ht,jump,sote,general
148,en,ht,fly,vole,general
149,en,ht,open,louvri,general
150,en,ht,close,fèmen,general
151,en,ht,bring,pote,general
152,en,ht,take,pran,general
153,en,ht,send,voye,general
154,en,ht,receive,resevwa,general
155,en,ht,build,bati,general
156,en,ht,break,kase,general
157,en,ht,cut,koupe,general
158,en,ht,clean,netwaye,general
159,en,ht,dirty,sal,general
160,en,ht,paint,pentire,general
161,en,ht,write,ekri,general
162,en,ht,draw,dwe,general
163,en,ht,teach,anseye,general
164,en,ht,learn,aprann,general
165,en,ht,study,etidye,general
166,en,ht,listen,tande,general
167,en,ht,talk,pale,general
168,en,ht,speak,pale,general
169,en,ht,ask,mande,general
170,en,ht,answer,reponn,general
171,en,ht,question,kesyone,general
172,en,ht,call,rele,general
173,en,ht,meet,rankontre,general
174,en,ht,join,antre,general
175,en,ht,leave,kite,general
176,en,ht,stay,rete,general
177,en,ht,arrive,rive,general
178,en,ht,depart,pati,general
179,en,ht,travel,vwayaje,general
180,en,ht,wait,tann,general
181,en,ht,watch,gade,general
182,en,ht,see,wè,general
183,en,ht,look,gade,general
184,en,ht,find,jwenn,general
185,en,ht,lose,pèdi,general
186,en,ht,win,genyen,general
187,en,ht,play,jwe,general
188,en,ht,work,travay,general
189,en,ht,rest,repoze,general
190,en,ht,sit,chita,general
191,en,ht,stand,kanpe,general
192,en,ht,move,deplase,general
193,en,ht,stop,kanpe,general
194,en,ht,start,kòmanse,general
195,en,ht,finish,fini,general
196,en,ht,open,louvri,general
197,en,ht,close,fèmen,general
198,en,ht,win,genyen,general
199,en,ht,lose,pèdi,general
200,en,ht,help,ede,general
201,en,ht,ability,kapasite,general
202,en,ht,accept,aksepte,general
203,en,ht,accident,aksidan,general
204,en,ht,account,kont,general
205,en,ht,action,aksyon,general
206,en,ht,activity,aktivite,general
207,en,ht,adult,adilt,general
208,en,ht,advice,konsèy,general
209,en,ht,afraid,pe,general
210,en,ht,after,apre,general
211,en,ht,again,ankò,general
212,en,ht,against,kont,general
213,en,ht,age,laj,general
214,en,ht,agree,dakò,general
215,en,ht,airplane,avyon,general
216,en,ht,alarm,alarme,general
217,en,ht,alone,selman,general
218,en,ht,also,tou, general
219,en,ht,always,toujou,general
