id,source_language,target_language,source,target,domain
1,en,ht,Do you need medical help?,Èske ou bezwen èd medikal?,healthcare
2,en,ht,What brings you here today?,Kisa ki mennen ou isit la jodia?,healthcare
3,en,ht,How are you feeling?,Kijan ou santi ou?,healthcare
4,en,ht,Are you in pain?,Èske ou gen doulè?,healthcare
5,en,ht,Where does it hurt?,Ki kote ou gen doulè?,healthcare
6,en,ht,How long have you had this pain?,Depi konbyen tan ou gen doulè sa a?,healthcare
7,en,ht,On a scale of one to ten, how bad is the pain?,Sou yon echèl de youn a dis, konbyen doulè a ye?,healthcare
8,en,ht,Do you have a fever?,Èske ou gen lafyèv?,healthcare
9,en,ht,Have you been coughing?,Èske ou tap touse?,healthcare
10,en,ht,Are you having trouble breathing?,Èske ou gen pwoblèm pou respire?,healthcare
11,en,ht,Do you feel dizzy?,Èske ou santi tèt ou vire?,healthcare
12,en,ht,Have you fainted?,Èske ou janm pèdi konesans?,healthcare
13,en,ht,Do you have nausea?,Èske ou gen kè plen?,healthcare
14,en,ht,Have you been vomiting?,Èske ou tap vomi?,healthcare
15,en,ht,Do you have diarrhea?,Èske ou gen dyare?,healthcare
16,en,ht,Are you constipated?,Èske ou gen konstipasyon?,healthcare
17,en,ht,Do you have a headache?,Èske ou gen tèt fè mal?,healthcare
18,en,ht,Do you have chest pain?,Èske ou gen doulè nan pwatrin?,healthcare
19,en,ht,Do you have stomach pain?,Èske ou gen doulè nan vant?,healthcare
20,en,ht,Are you pregnant?,Èske ou ansent?,healthcare
21,en,ht,When was your last menstrual period?,Kilè dènye règ ou te vini?,healthcare
22,en,ht,Do you have any allergies?,Èske ou gen alèji?,healthcare
23,en,ht,What are you allergic to?,A kisa ou fè alèji?,healthcare
24,en,ht,Are you taking any medications?,Èske ou pran nenpòt medikaman?,healthcare
25,en,ht,What medications are you taking?,Ki medikaman ou ap pran?,healthcare
26,en,ht,Do you take medication every day?,Èske ou pran medikaman chak jou?,healthcare
27,en,ht,Did you take your medication today?,Èske ou pran medikaman ou jodi a?,healthcare
28,en,ht,Do you have a chronic condition?,Èske ou gen yon maladi kwonik?,healthcare
29,en,ht,Have you had surgery before?,Èske ou janm fè operasyon?,healthcare
30,en,ht,When was your last surgery?,Kilè dènye operasyon ou te fè?,healthcare
31,en,ht,Do you have diabetes?,Èske ou fè sik?,healthcare
32,en,ht,Do you have high blood pressure?,Èske ou gen tansyon wo?,healthcare
33,en,ht,Do you have asthma?,Èske ou gen opresyon?,healthcare
34,en,ht,Do you have heart disease?,Èske ou gen maladi kè?,healthcare
35,en,ht,Do you smoke?,Èske ou fimen?,healthcare
36,en,ht,Do you drink alcohol?,Èske ou bwè alkòl?,healthcare
37,en,ht,Do you use drugs?,Èske ou itilize dwòg?,healthcare
38,en,ht,Are you feeling anxious?,Èske ou santi w enkyè?,healthcare
39,en,ht,Are you feeling depressed?,Èske ou santi w depresif?,healthcare
40,en,ht,Have you had trouble sleeping?,Èske ou gen pwoblèm dòmi?,healthcare
41,en,ht,Do you feel weak?,Èske ou santi w fèb?,healthcare
42,en,ht,Have you lost weight recently?,Èske ou pèdi pwa dènyèman?,healthcare
43,en,ht,Have you gained weight recently?,Èske ou pran pwa dènyèman?,healthcare
44,en,ht,Do you have swelling?,Èske ou gen enflamasyon?,healthcare
45,en,ht,Where is the swelling?,Ki kote enflamasyon an ye?,healthcare
46,en,ht,Do you have a rash?,Èske ou gen gratèl?,healthcare
47,en,ht,Is the rash itchy?,Èske gratèl la ap grate?,healthcare
48,en,ht,Do you have a wound?,Èske ou gen yon blesi?,healthcare
49,en,ht,Is the wound bleeding?,Èske blesi a ap senyen?,healthcare
50,en,ht,Do you need stitches?,Èske ou bezwen koud?,healthcare
51,en,ht,Do you have a history of heart problems?,Èske ou gen istwa pwoblèm kè?,healthcare
52,en,ht,Do you have a history of stroke?,Èske ou gen istwa konjesyon serebral?,healthcare
53,en,ht,Do you have any family medical history?,Èske ou gen nenpòt istwa medikal fanmi?,healthcare
54,en,ht,Are you up to date on vaccinations?,Èske ou ajou ak vaksen yo?,healthcare
55,en,ht,Do you take vitamins or supplements?,Èske ou pran vitamin oswa sipleman?,healthcare
56,en,ht,Do you exercise regularly?,Èske ou fè egzèsis regilyèman?,healthcare
57,en,ht,Do you follow a special diet?,Èske ou swiv yon rejim alimantè espesyal?,healthcare
58,en,ht,Do you have any food allergies?,Èske ou gen alèji manje?,healthcare
59,en,ht,Have you traveled recently?,Èske ou te vwayaje dènyèman?,healthcare
60,en,ht,Have you been in contact with sick people?,Èske ou te an kontak ak moun malad?,healthcare
61,en,ht,Do you have any chronic pain?,Èske ou gen doulè kwonik?,healthcare
62,en,ht,Do you have joint pain?,Èske ou gen doulè nan jwenti?,healthcare
63,en,ht,Do you have muscle pain?,Èske ou gen doulè nan misk?,healthcare
64,en,ht,Do you have back pain?,Èske ou gen doulè nan do?,healthcare
65,en,ht,Do you have neck pain?,Èske ou gen doulè nan kou?,healthcare
66,en,ht,Do you have leg pain?,Èske ou gen doulè nan janm?,healthcare
67,en,ht,Do you have arm pain?,Èske ou gen doulè nan bra?,healthcare
68,en,ht,Do you have numbness or tingling?,Èske ou gen sansasyon pike oswa pipi?,healthcare
69,en,ht,Do you have seizures?,Èske ou gen kriz konvulsif?,healthcare
70,en,ht,Do you have dizziness or fainting?,Èske ou gen tèt vire oswa pèdi konesans?,healthcare
71,en,ht,Do you have trouble walking?,Èske ou gen pwoblèm pou mache?,healthcare
72,en,ht,Do you have trouble speaking?,Èske ou gen pwoblèm pou pale?,healthcare
73,en,ht,Do you have trouble swallowing?,Èske ou gen pwoblèm pou vale manje?,healthcare
74,en,ht,Do you have vision problems?,Èske ou gen pwoblèm vizyon?,healthcare
75,en,ht,Do you have hearing problems?,Èske ou gen pwoblèm pou tande?,healthcare
76,en,ht,Do you wear glasses or contact lenses?,Èske ou mete linèt oswa lantiy kontak?,healthcare
77,en,ht,Do you have a history of infections?,Èske ou gen istwa enfeksyon?,healthcare
78,en,ht,Have you had recent lab tests?,Èske ou te fè tès laboratwa dènyèman?,healthcare
79,en,ht,Have you had recent imaging studies?,Èske ou te fè tès imaj dènyèman?,healthcare
80,en,ht,Do you take blood thinners?,Èske ou pran medikaman ki mensan san?,healthcare
81,en,ht,Do you take insulin?,Èske ou pran ensilin?,healthcare
82,en,ht,Do you have any skin problems?,Èske ou gen pwoblèm po?,healthcare
83,en,ht,Do you have scars?,Èske ou gen mak sou po?,healthcare
84,en,ht,Do you bruise easily?,Èske ou fasil gen siy senyen?,healthcare
85,en,ht,Do you feel fatigued?,Èske ou santi w fatige?,healthcare
86,en,ht,Do you have sleep apnea?,Èske ou gen apne dòmi?,healthcare
87,en,ht,Do you have snoring issues?,Èske ou gen pwoblèm ronfle?,healthcare
88,en,ht,Do you have a cough with phlegm?,Èske ou gen tous ak krèm?,healthcare
89,en,ht,Do you have a dry cough?,Èske ou gen tous sèk?,healthcare
90,en,ht,Do you have a sore throat?,Èske ou gen gòj fè mal?,healthcare
91,en,ht,Do you have difficulty breathing at night?,Èske ou gen difikilte pou respire nan mitan lannwit?,healthcare
92,en,ht,Do you wake up gasping for air?,Èske ou leve nan dòmi pou souf?,healthcare
93,en,ht,Do you have wheezing?,Èske ou gen sifle lè nan lestomak?,healthcare
94,en,ht,Do you have allergies to animals?,Èske ou gen alèji ak bèt?,healthcare
95,en,ht,Do you have allergies to pollen?,Èske ou gen alèji ak polèn?,healthcare
96,en,ht,Do you have allergies to dust?,Èske ou gen alèji ak pousyè?,healthcare
97,en,ht,Do you have allergies to medications?,Èske ou gen alèji ak medikaman?,healthcare
